Título;Ano;Direção;Gênero;Canais/serviços
NÃO ENCONTRADO;(2025);James Gunn;NÃO ENCONTRADO;Apple TV, Amazon Prime Video, UCIcinemas, Cinesystem Cinemas, Claro tv+, Amazon Video
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/weapons-2025
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/f1
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/28-years-later
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/thunderbolts
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/pecadores
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/missao-impossivel-ajuste-de-contas-parte-dois
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/bring-her-back
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/jurassic-world-4
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/the-brutalist
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/the-thursday-murder-club
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/night-always-comes
NÃO ENCONTRADO;(2024);Sean Baker;NÃO ENCONTRADO;Amazon Prime Video, Apple TV, Cinemark, Amazon Video, Claro video, Amazon Prime Video with Ads
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/exterminio
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/materialists
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/amateur-2024
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/together-2025
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/ballerina
ERRO;;;;Falha ao processar: https://www.justwatch.com/br/filme/verdens-verste-menneske
