Título;Ano;Direção;Gêneros;Canais/Serviços;Status
SUPERMAN (2025);(2025);James Gunn;Ficção Científica, Ação & Aventura, Fantasia;Apple TV, Amazon Prime Video, UCIcinemas, Cinesystem Cinemas, Claro tv+, Amazon Video;OK
HORA DO DESAPARECIMENTO (2025);(2025);Zach Cregger;Terror, Mistério & Thriller;UCIcinemas, Cinesystem Cinemas, Amazon Prime Video, Cineflix;OK
F1 - O FILME (2025);(2025);Joseph Kosinski;Drama, Ação & Aventura, Esporte & Fitness;Apple TV, Amazon Prime Video, Kinoplex, Claro tv+, Amazon Video;OK
28 ANOS DEPOIS (2025);(2025);Danny Boyle;Terror, Ficção Científica, Mistério & Thriller;Apple TV, Amazon Prime Video, Claro tv+, Amazon Video, Netflix;OK
OS NOVOS VINGADORES (2025);(2025);Jake Schreier;Ação & Aventura, Crime, Drama, Fantasia, Ficção Científica;Disney Plus, Amazon Prime Video;OK
PECADORES (2025);(2025);Ryan Coogler;Música & Musical, Mistério & Thriller, Ação & Aventura, Drama, Terror;HBO Max Amazon Channel, Apple TV, Amazon Prime Video, Claro tv+, Amazon Video, HBO Max;OK
MISSÃO: IMPOSSÍVEL - O ACERTO FINAL (2025);(2025);Christopher McQuarrie;Ação & Aventura, Mistério & Thriller;Apple TV, Amazon Video, Amazon Prime Video;OK
VOLTA PARA MIM (2025);(2025);Danny Philippou;Terror;UCIcinemas, Cinesystem Cinemas, Amazon Prime Video, Cineflix;OK
JURASSIC WORLD: RECOMEÇO (2025);(2025);Gareth Edwards;Ficção Científica, Mistério & Thriller, Ação & Aventura;Apple TV, Amazon Prime Video, UCIcinemas, Cinesystem Cinemas, Claro tv+, Amazon Video;OK
O BRUTALISTA (2024);(2024);Brady Corbet;História, Drama;Amazon Prime Video, Apple TV, Cinemark, Centerplex Cinemas, Amazon Video, Claro video, Amazon Prime Video with Ads;OK
