link;title;year;streamings;synopsis_content;synopsis_lemming;synopsis_stemming;just_watch_rating;rotten_tomatoes_rating;imdb_ratings;genres;movie_duration;age_classification
https://www.justwatch.com/br/filme/weapons-2025;Hora do Desaparecimento(2025);(2025);['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Cinesystem Cinemas', 'Claro tv+', 'Amazon Video', 'Amazon Video'];Em uma pequena cidade, um evento inexplicável rasga a normalidade: todas as crianças de uma mesma turma desaparecem na mesma noite, no mesmo instante — exceto uma. Enquanto a comunidade se desespera entre teorias e suspeitas, a garota restante guarda um segredo perturbador. O que aconteceu naquela hora fatídica? E por que ela foi poupada?;['pequena', 'cidade', 'evento', 'inexplicável', 'rasga', 'normalidade', 'toda', 'crianças', 'mesma', 'turma', 'desaparecem', 'mesma', 'noite', 'instante', 'exceto', 'enquanto', 'comunidade', 'desespera', 'teorias', 'suspeitas', 'garota', 'restante', 'guarda', 'segredo', 'perturbador', 'aconteceu', 'naquela', 'hora', 'fatídica', 'poupada'];['pequen', 'cidad', 'event', 'inexplic', 'rasg', 'normal', 'tod', 'crianç', 'mesm', 'turm', 'desaparec', 'mesm', 'noit', 'instant', '—', 'excet', 'enquant', 'comunidad', 'desesp', 'teor', 'suspeit', 'garot', 'rest', 'guard', 'segred', 'perturb', 'acontec', 'naquel', 'hor', 'fatíd', 'poup'];92%(3.4k);93%;7.6  (170k);['Terror', 'Mistério & Thriller', 'Suspense de Terror'];2h 9min;18
https://www.justwatch.com/br/filme/superman-legacy;Superman(2025);(2025);['HBO Max Amazon Channel', 'Claro tv+', 'Amazon Video', 'Amazon Prime Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max'];Ser um dos maiores símbolos de esperança não é fácil, e Clark Kent precisa reconciliar sua herança como Super-Homem com sua criação humana. Em um mundo que vê bondade como antiquada, Clark vira o herói que engloba verdade e justiça.;['maiores', 'símbolos', 'esperança', 'fácil', 'clark', 'kent', 'precisa', 'reconciliar', 'herança', 'superhomem', 'criação', 'humana', 'mundo', 'bondade', 'antiquada', 'clark', 'vira', 'herói', 'engloba', 'verdade', 'justiça'];['mai', 'símbol', 'esperanç', 'fácil', 'clark', 'kent', 'precis', 'reconcili', 'heranç', 'superhom', 'cri', 'human', 'mund', 'vê', 'bondad', 'antiqu', 'clark', 'vir', 'heró', 'englob', 'verdad', 'justiç'];89%(7.2k);83%;7.2  (316k);['Ação & Aventura', 'Ficção Científica', 'Super-Herói'];2h 9min;14
https://www.justwatch.com/br/filme/f1;F1 - O Filme(2025);(2025);['Apple TV', 'Apple TV', 'Amazon Video', 'Amazon Prime Video'];Focando no ex-piloto de Fórmula 1, Sonny Hayes (Brad Pitt), um piloto rebelde dispostos a arriscar tudo retorna as pistas 30 anos após um terrível acidente. Agora, o veterano das pistas monta uma estratégia para apoiar o novato, Joshua Pearce (Damson Idris), e revitalizar o time.;['focando', 'expiloto', 'fórmula', 'sonny', 'hayes', 'brad', 'pitt', 'piloto', 'rebelde', 'dispostos', 'arriscar', 'tudo', 'retorna', 'pistas', 'ano', 'após', 'terrível', 'acidente', 'agora', 'veterano', 'pistas', 'monta', 'estratégia', 'apoiar', 'novato', 'joshua', 'pearce', 'damson', 'idris', 'revitalizar', 'time'];['foc', 'expilot', 'fórmul', '1', 'sonny', 'hay', 'brad', 'pitt', 'pilot', 'rebeld', 'dispost', 'arrisc', 'tud', 'retorn', 'pist', '30', 'ano', 'após', 'terr', 'acid', 'agor', 'veter', 'pist', 'mont', 'estratég', 'apoi', 'novat', 'joshu', 'pearc', 'damson', 'idril', 'revital', 'tim'];95%(4k);82%;7.7  (220k);['Ação & Aventura', 'Drama', 'Esporte & Fitness', 'Drama Esportivo'];2h 36min;12
https://www.justwatch.com/br/filme/materialists;O Match Perfeito(2025);(2025);['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Claro tv+', 'Amazon Prime Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max'];Lucy (Dakota Johnson) é uma casamenteira de sucesso que busca encontrar o amor perfeito para todos os seus clientes. Porém, na sua vida pessoal ela fica em meio a um triângulo amoroso após começar um relacionamento com um homem rico (Pedro Pascal) e reencontrar um antigo amor imperfeito (Chris Evans).;['lucy', 'dakota', 'johnson', 'casamenteira', 'sucesso', 'busca', 'encontrar', 'amor', 'perfeito', 'todos', 'clientes', 'porém', 'vida', 'pessoal', 'fica', 'meio', 'triângulo', 'amoroso', 'após', 'começar', 'relacionamento', 'homem', 'rico', 'pedro', 'pascal', 'reencontrar', 'antigo', 'amor', 'imperfeito', 'chris', 'evans'];['lucy', 'dakot', 'johnson', 'casament', 'sucess', 'busc', 'encontr', 'am', 'perfeit', 'tod', 'client', 'porém', 'vid', 'pessoal', 'fic', 'mei', 'triângul', 'amor', 'após', 'começ', 'relacion', 'hom', 'ric', 'pedr', 'pasc', 'reencontr', 'antig', 'am', 'imperfeit', 'chril', 'ev'];77%(1.4k);79%;6.3  (55k);['Romance', 'Drama', 'Comédia', 'Comédia Romântica'];1h 56min;14
https://www.justwatch.com/br/filme/thunderbolts;*Os Novos Vingadores(2025);(2025);['Disney Plus', 'Disney Plus', 'Amazon Prime Video'];O que acontece quando um grupo improvável com heróis e anti-heróis se forma? Bucky, Yelena, Wyatt e o Guardião Vermelho são apenas o começo dos Thunderbolts que lutam juntos para salvar o mundo.;['acontece', 'grupo', 'improvável', 'heróis', 'antiheróis', 'forma', 'bucky', 'yelena', 'wyatt', 'guardião', 'vermelho', 'apenas', 'começo', 'thunderbolt', 'lutam', 'junto', 'salvar', 'mundo'];['acontec', 'grup', 'improv', 'herol', 'antiherol', 'form', 'bucky', 'yelen', 'wyatt', 'guard', 'vermelh', 'apen', 'começ', 'thunderbolt', 'lut', 'junt', 'salv', 'mund'];92%(8.6k);88%;7.1  (224k);['Fantasia', 'Ficção Científica', 'Ação & Aventura', 'Crime', 'Drama', 'Super-Herói'];2h 7min;14
https://www.justwatch.com/br/filme/pecadores;Pecadores(2025);(2025);['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'HBO Max Amazon Channel', 'HBO Max'];Retornando para sua cidade natal em busca de uma nova vida, os irmãos gêmeos tentam colocar o passado devastador para trás. Porém, eles logo descobrem que forças muito mais sombrias estão os esperando.;['retornando', 'cidade', 'natal', 'busca', 'nova', 'vida', 'irmãos', 'gêmeos', 'tentam', 'colocar', 'passado', 'devastador', 'trás', 'porém', 'logo', 'descobrem', 'forças', 'sombrias', 'esperando'];['retorn', 'cidad', 'natal', 'busc', 'nov', 'vid', 'irm', 'gême', 'tent', 'coloc', 'pass', 'devast', 'trá', 'porém', 'log', 'descobr', 'forç', 'sombr', 'esper'];89%(13k);97%;7.6  (281k);['Mistério & Thriller', 'Ação & Aventura', 'Drama', 'Terror', 'Música & Musical', 'Suspense de Terror'];2h 17min;16
https://www.justwatch.com/br/filme/uma-batalha-apos-a-outra;Batalha Atrás de Batalha(2025);(2025);['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video', 'Cineflix'];Bob Ferguson (Leonardo DiCaprio), é um ex-revolucionário que passou sua juventude como integrante de um grupo de guerrilha. Dezesseis anos depois, ele precisa retornar a sua vida antiga quando um inimigo do seu passado sequestra sua filha, fazendo de tudo para resgatá-la antes que seja tarde demais.;['bob', 'ferguson', 'leonardo', 'dicaprio', 'exrevolucionário', 'passou', 'juventude', 'integrante', 'grupo', 'guerrilha', 'dezesseis', 'ano', 'precisa', 'retornar', 'vida', 'antiga', 'inimigo', 'passado', 'sequestra', 'filha', 'fazendo', 'tudo', 'resgatála', 'ante', 'tarde', 'demais'];['bob', 'ferguson', 'leonard', 'dicapri', 'exrevolucion', 'pass', 'juventud', 'integr', 'grup', 'guerrilh', 'dezessel', 'ano', 'precis', 'retorn', 'vid', 'antig', 'inimig', 'pass', 'sequestr', 'filh', 'faz', 'tud', 'resgatál', 'ant', 'tard', 'demal'];93%(882);96%;8.4  (60k);['Mistério & Thriller', 'Crime', 'Drama', 'Ação & Aventura'];2h 42min;16
https://www.justwatch.com/br/filme/highest-2-lowest;Céus e Infernos(2025);(2025);['Apple TV+', 'Apple TV+', 'Apple TV Plus Amazon Channel', 'Apple TV+'];Neste filme da A24, o magnata da música, David King (Denzel Washington), é conhecido como um dos melhores do ramo. Mas quando tentam raptar o seu filho, ele fica preso em um dilema moral complexo em meio ao resgate.;['neste', 'filme', 'magnata', 'música', 'david', 'king', 'denzel', 'washington', 'conhecido', 'melhores', 'ramo', 'tentam', 'raptar', 'filho', 'fica', 'preso', 'dilema', 'moral', 'complexo', 'meio', 'resgate'];['nest', 'film', 'a24', 'magnat', 'músic', 'david', 'king', 'denzel', 'washington', 'conhec', 'melhor', 'ram', 'tent', 'rapt', 'filh', 'fic', 'pres', 'dilem', 'moral', 'complex', 'mei', 'resgat'];57%(903);84%;5.6  (19k);['Mistério & Thriller', 'Drama', 'Crime'];2h 13min;16
https://www.justwatch.com/br/filme/the-thursday-murder-club;O Clube do Crime das Quintas-Feiras(2025);(2025);['Netflix', 'Netflix Standard with Ads', 'Amazon Prime Video'];Por diversão, um grupo de aposentados se encontra toda quinta-feira para investigar casos antigos arquivados pela polícia. Porém, eles acabam envolvidos na investigação que toma um rumo bem perigoso quando se deparam com um assassinato misterioso.;['diversão', 'grupo', 'aposentados', 'encontra', 'toda', 'quintafeira', 'investigar', 'casos', 'antigos', 'arquivados', 'polícia', 'porém', 'acabam', 'envolvidos', 'investigação', 'toma', 'rumo', 'bem', 'perigoso', 'deparam', 'assassinato', 'misterioso'];['divers', 'grup', 'aposent', 'encontr', 'tod', 'quintaf', 'investig', 'cas', 'antig', 'arquiv', 'políci', 'porém', 'acab', 'envolv', 'investig', 'tom', 'rum', 'bem', 'perig', 'dep', 'assassinat', 'misteri'];88%(3.7k);77%;6.5  (57k);['Comédia', 'Mistério & Thriller', 'Crime', 'Thriller de Mistério'];1h 58min;12
https://www.justwatch.com/br/filme/missao-impossivel-ajuste-de-contas-parte-dois;Missão: Impossível - O Acerto Final(2025);(2025);['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Claro tv+', 'Amazon Video', 'Amazon Video'];Ethan Hunt e sua equipe de espiões continuam em busca da Entidade após o fim de Missão Impossível: Acerto de Contas. Como a segunda parte do filme, Ethan faz de tudo para derrotar Gabriel e destruir a Entidade, antes que a Inteligência Artificial seja usada para dominar o mundo.;['ethan', 'hunt', 'equipe', 'espiões', 'continuam', 'busca', 'entidade', 'após', 'fim', 'missão', 'impossível', 'acerto', 'contas', 'segunda', 'parte', 'filme', 'ethan', 'faz', 'tudo', 'derrotar', 'gabriel', 'destruir', 'entidade', 'ante', 'inteligência', 'artificial', 'usada', 'dominar', 'mundo'];['ethan', 'hunt', 'equip', 'espiã', 'continu', 'busc', 'entidad', 'após', 'fim', 'miss', 'imposs', 'acert', 'cont', 'segund', 'part', 'film', 'ethan', 'faz', 'tud', 'derrot', 'gabriel', 'destru', 'entidad', 'ant', 'intelig', 'artific', 'us', 'domin', 'mund'];90%(3.3k);80%;7.2  (167k);['Ação & Aventura', 'Mistério & Thriller', 'Espionagem', 'Thriller de Ação'];2h 50min;14
